item,resultado,referencia,flag
WBC,,,
LYM#,1 10^9/L,0.8-5.1,
MID#,5.37 10^9/L,0-1.8,H
GRA#,75.7 10^9/L,4-12.6,H
LYM%,,,
MID%,,,
GRA%,,,
RBC,,,
HGB,12.8 g/dL,11-19,
MCHC,,,
MCH,,,
MCV,,,
RDW-CV,13 %,11-15.5,
RDW-SD,,,
HCT,57 %,39-56,H
PLT,720 10^9/L,200-460,H
MPV,,,
PDW,12 %,10-18,
PCT,,,
P-LCR,,,
