item,resultado,referencia,flag
WBC,8.65 10^9/L,5-19.5,
LYM#,5.20 10^9/L,1.5-7,
MID#,0.38 10^9/L,0.1-1.5,
GRA#,3.07 10^9/L,2.5-12.5,
LYM%,60.1 %,20-55,H
MID%,4.4 %,1-9,
GRA%,35.5 %,35-75,
RBC,7.32 10^12/L,5.0-10.0,
HGB,11.5 g/dL,8-15,
MCHC,33.1 g/dL,30-36,
MCH,15.7 pg,13-17,
MCV,,,
RDW-CV,14.1 %,11-15.5,
RDW-SD,43.8 fL,35-56,
HCT,34.8 %,24-45,
PLT,287 10^9/L,200-500,
MPV,9.2 fL,6.5-12,
PDW,15.1 %,10-18,
PCT,0.263 %,0.1-0.5,
P-LCR,19.3 %,13-43,
