item,resultado,referencia,flag
WBC,11.28 10^9/L,6-17,
LYM#,3.65 10^9/L,1.0-4.8,
MID#,0.88 10^9/L,0-1.8,
GRA#,6.75 10^9/L,4-12.6,
LYM%,32.4 %,12-30,H
MID%,7.8 %,2-9,
GRA%,59.8 %,60-83,L
RBC,7.25 10^12/L,5.5-8.5,
HGB,15.6 g/dL,11-19,
MCHC,34.1 g/dL,30-38,
MCH,21.5 pg,20-25,
MCV,63.1 fL,62-72,
RDW-CV,14.0 %,11-15.5,
RDW-SD,41.8 fL,35-56,
HCT,45.7 %,39-56,
PLT,278 10^9/L,200-460,
MPV,9.6 fL,7-12.9,
PDW,15.1 %,10-18,
PCT,0.266 %,0.1-0.5,
P-LCR,17.3 %,13-43,
