item,resultado,referencia,flag
WBC,12.39 10^9/L,6-17,
LYM#,2.83 10^9/L,0.8-5.1,
MID#,0.55 10^9/L,0-1.8,
GRA#,9 10^9/L,4-12.6,
LYM%,,,
MID%,44 %,2-9,H
GRA%,72 %,9-83,
RBC,934 10^12/L,24 5,H
HGB,94 g/dL,W4 !,
MCHC,,,
MCH,21.2 pg,2 %,
MCV,4 fL,"K""",
RDW-CV,,,
RDW-SD,,,
HCT,49 %,29-56,
PLT,219 10^9/L,200-460,
MPV,7 fL,7-j229,
PDW,1 %,10 49,L
PCT,8 %,1445,
P-LCR,13 %,13-435,
