item,resultado,referencia,flag
WBC,12.45 10^9/L,6-17,
LYM#,3.78 10^9/L,1.0-4.8,
MID#,0.94 10^9/L,0-1.5,
GRA#,7.73 10^9/L,4-12.6,
LYM%,30.4 %,12-30,H
MID%,1.6 %,2-9,L
GRA%,62.0 %,40-75,
RBC,6.48 10^12/L,5.5-8.5,
HGB,15.3 g/dL,11-17,
MCHC,33.6 g/dL,30-36,
MCH,23.6 pg,19-25,
MCV,67.2 fL,60-77,
RDW-CV,,11-15.5,
RDW-SD,42.6 fL,35-56,
HCT,43.5 %,37-55,
PLT,268 10^9/L,200-500,
MPV,8.9 fL,7-12.9,
PDW,14.0 %,10-18,
PCT,0.238 %,0.1-0.5,
P-LCR,16.0 %,13-43,
