item,resultado,referencia,flag
WBC,,,
LYM#,21 10^9/L,1.5-7,H
MID#,8.9 10^9/L,0.1-1.5,H
GRA#,31.6 10^9/L,2.5-12.5,H
LYM%,,,
MID%,,,
GRA%,,,
RBC,8.2 10^12/L,5.0-10.0,
HGB,11.3 g/dL,8-15,
MCHC,29.8 g/dL,30-36,L
MCH,13.7 pg,13-17,
MCV,47.7 fL,39-52,
RDW-CV,,,
RDW-SD,33.3 fL,35-56,L
HCT,,,
PLT,,,
MPV,7.3 fL,6.5-12,
PDW,16.4 %,10-18,
PCT,0 %,0.1-0.5,L
P-LCR,13 %,13-43,
